Moorpark College — 29 Games — All Athletes — Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lineup,0,eFG%,TO%,OREB%,DREB%,FTF,VPS,0,FGM,FGA,FG%,eFG%,0,2FGM,2FGA,2FG%,0,3FGM,3FGA,3FG%,0,FTM,FTA,FT%,0,PF,PA,PPP,PPG,+/-,MINS,0,TP,PoT,SCP,PiP,0,OREB,OREB%,DREB,DREB%,REB,0,AST,TO,A/TO,TO%,0,SLOB,SLOB%,PPSLOB,BLOB,BLOB%,PPBLOB,0,DEFL,STL,BLK,FOUL,CHG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1 J.C. / #2 A.B. / #3 E.K. / #5 T.S. / #30 C.S.,0,55.00%,8.70%,16.70%,50.00%,0.1,1.14,0,4,10,40.00%,55.00%,0,1,4,25.00%,0,3,6,50.00%,0,1,1,100.00%,0,12,17,0.57,6,-5,7,0,0,2,3,2,0,1,16.70%,4,50.00%,5,0,3,1,3,8.70%,0,0,-,0,1,100.00%,3,0,2,0,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1 J.C. / #3 E.K. / #4 M.S. / #12 D.B. / #20 J.F.,0,37.50%,11.10%,40.00%,75.00%,0,1.04,0,6,16,37.50%,37.50%,0,6,14,42.90%,0,0,2,0.00%,0,0,0,-,0,12,15,0.5,6,-3,7,0,0,4,4,8,0,4,40.00%,3,75.00%,7,0,2,2,1,11.10%,0,0,-,0,0,-,0,0,1,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1 J.C. / #3 E.K. / #5 T.S. / #14 J.Z. / #31 N.C.,0,66.70%,17.30%,40.00%,83.30%,0.42,1.06,0,6,12,50.00%,66.70%,0,2,3,66.70%,0,4,9,44.40%,0,3,5,60.00%,0,19,18,0.71,9.5,+ 1,7,0,0,0,1,2,0,2,40.00%,5,83.30%,7,0,4,3,1.33,17.30%,0,1,0.00%,0,2,50.00%,1.5,0,0,0,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1 J.C. / #3 E.K. / #12 D.B. / #14 J.Z. / #20 J.F.,0,77.80%,25.00%,33.30%,71.40%,0,2.5,0,6,9,66.70%,77.80%,0,4,5,80.00%,0,2,4,50.00%,0,0,0,-,0,14,8,1.06,4.7,+ 6,7,0,3,2,0,8,0,1,33.30%,5,71.40%,6,0,3,3,1,25.00%,0,2,50.00%,1,4,50.00%,1.25,0,1,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1 J.C. / #3 E.K. / #12 D.B. / #20 J.F. / #31 N.C.,0,31.80%,27.20%,18.20%,100.00%,0.45,0.59,0,3,11,27.30%,31.80%,0,2,7,28.60%,0,1,4,25.00%,0,2,5,40.00%,0,9,20,0.49,2.3,-11,7,0,0,1,1,4,0,2,18.20%,3,100.00%,5,0,1,5,0.2,27.20%,0,0,-,0,2,0.00%,0,0,3,3,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1 J.C. / #10 Z.B. / #12 D.B. / #15 P.K. / #31 N.C.,0,83.30%,18.80%,25.00%,66.70%,0.17,2.72,0,8,12,66.70%,83.30%,0,4,5,80.00%,0,4,7,57.10%,0,2,2,100.00%,0,22,15,0.95,7.3,+ 7,7,0,2,0,2,6,0,1,25.00%,6,66.70%,7,0,7,3,2.33,18.80%,0,0,-,0,0,-,0,0,1,2,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1 J.C. / #14 J.Z. / #20 J.F. / #22 R.F. / #31 N.C.,0,70.00%,9.10%,0.00%,80.00%,0,2.67,0,6,10,60.00%,70.00%,0,4,6,66.70%,0,2,4,50.00%,0,0,0,-,0,14,9,1.27,7,+ 5,7,0,5,4,0,8,0,0,0.00%,4,80.00%,4,0,4,1,4,9.10%,0,0,-,0,0,-,0,0,6,2,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1 J.C. / #3 E.K. / #11 E.E. / #12 D.B. / #31 N.C.,0,81.30%,24.10%,33.30%,50.00%,0.38,1.81,0,5,8,62.50%,81.30%,0,2,3,66.70%,0,3,5,60.00%,0,3,3,100.00%,0,16,6,1.33,8,+ 10,6,0,0,6,2,4,0,1,33.30%,2,50.00%,3,0,3,3,1,24.10%,0,2,50.00%,1.5,1,100.00%,2,0,1,1,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1 J.C. / #5 T.S. / #20 J.F. / #22 R.F. / #31 N.C.,0,46.20%,7.10%,25.00%,71.40%,0,1.32,0,4,13,30.80%,46.20%,0,0,4,0.00%,0,4,9,44.40%,0,0,0,-,0,12,5,0.55,6,+ 7,6,0,3,3,3,0,0,2,25.00%,5,71.40%,7,0,4,1,4,7.10%,0,1,0.00%,0,2,50.00%,1.5,0,2,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#2 A.B. / #5 T.S. / #12 D.B. / #22 R.F. / #30 C.S.,0,66.70%,22.30%,33.30%,80.00%,0.33,1.5,0,6,9,66.70%,66.70%,0,6,8,75.00%,0,0,1,0.00%,0,3,3,100.00%,0,15,8,1.22,7.5,+ 7,6,0,2,2,0,8,0,1,33.30%,4,80.00%,5,0,1,3,0.33,22.30%,0,1,0.00%,0,0,-,0,0,0,2,2,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
