date,opponent,venue,poss,poss_end,half,clock,mp_score,opp_score,lead,garbage,lineup,event,shot_type,result,assisted,pip,scp,pot,foul_type,bonus,ftm,fta,to_type,pts,notes
2025-11-01,LA Valley,Home,30,made_ft,1,4:58,44,27,17,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #4 Markus Steele / #31 Noah Cotton,foul,,,,,,,shooting,,1,2,,1,
2025-11-01,LA Valley,Home,31,dreb,1,4:58,44,27,17,,#1 Josh Castaniero / #4 Markus Steele / #20 Jake Field / #31 Noah Cotton / #33 Tyler Hook,shot,2pa,missed,,,,,,,,,,0,
2025-11-01,LA Valley,Home,31,dreb,1,4:58,44,27,17,,#1 Josh Castaniero / #4 Markus Steele / #20 Jake Field / #31 Noah Cotton / #33 Tyler Hook,dreb,,,,,,,,,,,,0,
2025-11-01,LA Valley,Home,32,steal,1,4:58,44,27,17,,#1 Josh Castaniero / #4 Markus Steele / #20 Jake Field / #31 Noah Cotton / #33 Tyler Hook,turnover,,,,,,,,,,,steal,0,
2025-11-01,LA Valley,Home,33,turnover,1,3:15,46,30,16,,#1 Josh Castaniero / #4 Markus Steele / #20 Jake Field / #31 Noah Cotton / #33 Tyler Hook,turnover,,,,,,,,,,,deadball,0,
2025-11-01,LA Valley,Home,34,dreb,1,3:15,46,30,16,,#1 Josh Castaniero / #4 Markus Steele / #20 Jake Field / #31 Noah Cotton / #33 Tyler Hook,shot,2pa,missed,,,,,,,,,,0,
2025-11-01,LA Valley,Home,34,dreb,1,3:15,46,30,16,,#1 Josh Castaniero / #4 Markus Steele / #20 Jake Field / #31 Noah Cotton / #33 Tyler Hook,dreb,,,,,,,,,,,,0,
2025-11-01,LA Valley,Home,35,turnover,1,3:15,46,30,16,,#1 Josh Castaniero / #4 Markus Steele / #20 Jake Field / #31 Noah Cotton / #33 Tyler Hook,turnover,,,,,,,,,,,deadball,0,
2025-11-01,LA Valley,Home,36,dreb,1,3:15,46,30,16,,#1 Josh Castaniero / #4 Markus Steele / #20 Jake Field / #31 Noah Cotton / #33 Tyler Hook,shot,3pa,missed,,,,,,,,,,0,
2025-11-01,LA Valley,Home,36,dreb,1,3:15,46,30,16,,#1 Josh Castaniero / #4 Markus Steele / #20 Jake Field / #31 Noah Cotton / #33 Tyler Hook,dreb,,,,,,,,,,,,0,
2025-11-01,LA Valley,Home,37,dreb,1,3:15,46,30,16,,#1 Josh Castaniero / #4 Markus Steele / #20 Jake Field / #31 Noah Cotton / #33 Tyler Hook,shot,2pa,missed,,,,,,,,,,0,
2025-11-01,LA Valley,Home,37,dreb,1,3:15,46,30,16,,#1 Josh Castaniero / #4 Markus Steele / #20 Jake Field / #31 Noah Cotton / #33 Tyler Hook,dreb,,,,,,,,,,,,0,
2025-11-01,LA Valley,Home,38,made_fg,1,3:15,46,30,16,,#1 Josh Castaniero / #4 Markus Steele / #20 Jake Field / #31 Noah Cotton / #33 Tyler Hook,shot,2pa,made,1,1,,,,,,,,2,
2025-11-01,LA Valley,Home,39,made_fg,1,3:15,46,30,16,,#1 Josh Castaniero / #4 Markus Steele / #20 Jake Field / #31 Noah Cotton / #33 Tyler Hook,shot,3pa,made,,,,,,,,,,3,
2025-11-01,LA Valley,Home,40,dreb,2,20:00,55,35,20,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,shot,2pa,missed,,,,,,,,,,0,
2025-11-01,LA Valley,Home,40,dreb,2,20:00,55,35,20,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,dreb,,,,,,,,,,,,0,
