date,opponent,venue,side,poss,poss_end,half,clock,mp_score,opp_score,lead,garbage,lineup,event,shot_type,result,assisted,pip,scp,pot,foul_type,bonus,ftm,fta,to_type,pts,notes
2025-11-19,Palomar,Home,def,40,made_fg,2,19:07,38,41,3,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #11 Elijah Elohim / #24 Aeneas Grullon,shot,2pa,made,1,1,,,,,,,,2,
2025-11-19,Palomar,Home,def,41,turnover,2,19:07,38,41,3,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #11 Elijah Elohim / #24 Aeneas Grullon,turnover,,,,,,,,,,,deadball,0,
2025-11-19,Palomar,Home,def,42,dreb,2,19:07,38,41,3,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #11 Elijah Elohim / #24 Aeneas Grullon,shot,2pa,missed,,,,,,,,,,0,
2025-11-19,Palomar,Home,def,42,dreb,2,19:07,38,41,3,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #11 Elijah Elohim / #24 Aeneas Grullon,dreb,,,,,,,,,,,,0,
2025-11-19,Palomar,Home,def,43,made_fg,2,19:07,38,41,3,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #11 Elijah Elohim / #24 Aeneas Grullon,shot,2pa,made,1,1,,,,,,,,2,
2025-11-19,Palomar,Home,def,44,made_fg,2,19:07,38,41,3,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #11 Elijah Elohim / #24 Aeneas Grullon,shot,2pa,made,1,1,,,,,,,,2,
2025-11-19,Palomar,Home,def,45,turnover,2,19:07,38,41,3,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #11 Elijah Elohim / #24 Aeneas Grullon,shot,2pa,missed,,,,,,,,,,0,
2025-11-19,Palomar,Home,def,45,turnover,2,19:07,38,41,3,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #11 Elijah Elohim / #24 Aeneas Grullon,oreb,,,,,,,,,,,,0,
2025-11-19,Palomar,Home,def,45,turnover,2,19:07,38,41,3,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #11 Elijah Elohim / #24 Aeneas Grullon,turnover,,,,,,,,,,,other,0,
2025-11-19,Palomar,Home,def,46,dreb,2,16:55,42,47,5,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #11 Elijah Elohim / #24 Aeneas Grullon,shot,3pa,missed,,,,,,,,,,0,
2025-11-19,Palomar,Home,def,46,dreb,2,16:55,42,47,5,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #11 Elijah Elohim / #24 Aeneas Grullon,dreb,,,,,,,,,,,,0,
2025-11-19,Palomar,Home,def,47,made_ft,2,16:11,47,47,0,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #4 Markus Steele / #24 Aeneas Grullon,foul,,,,,,,shooting,,1,2,,1,
2025-11-19,Palomar,Home,def,48,made_fg,2,16:11,47,47,0,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #4 Markus Steele / #24 Aeneas Grullon,shot,2pa,made,,1,,,,,,,,2,
2025-11-19,Palomar,Home,def,49,steal,2,16:11,47,47,0,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #4 Markus Steele / #24 Aeneas Grullon,deflection,,,,,,,,,,,,0,
2025-11-19,Palomar,Home,def,49,steal,2,16:11,47,47,0,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #4 Markus Steele / #24 Aeneas Grullon,turnover,,,,,,,,,,,steal,0,
2025-11-19,Palomar,Home,def,50,dreb,2,14:27,51,50,1,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #4 Markus Steele / #24 Aeneas Grullon,shot,3pa,missed,,,,,,,,,,0,
2025-11-19,Palomar,Home,def,50,dreb,2,14:27,51,50,1,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #4 Markus Steele / #24 Aeneas Grullon,dreb,,,,,,,,,,,,0,
2025-11-19,Palomar,Home,def,51,dreb,2,14:27,51,50,1,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #4 Markus Steele / #24 Aeneas Grullon,shot,3pa,missed,,,,,,,,,,0,
2025-11-19,Palomar,Home,def,51,dreb,2,14:27,51,50,1,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #4 Markus Steele / #24 Aeneas Grullon,dreb,,,,,,,,,,,,0,
2025-11-19,Palomar,Home,def,52,made_fg,2,14:27,51,50,1,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #4 Markus Steele / #24 Aeneas Grullon,shot,3pa,made,1,,,,,,,,,3,
2025-11-19,Palomar,Home,def,53,made_ft,2,13:11,53,53,0,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #12 Dominique Brutus / #24 Aeneas Grullon,shot,2pa,made,,1,,,,,,,,2,
2025-11-19,Palomar,Home,def,53,made_ft,2,13:11,53,53,0,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #12 Dominique Brutus / #24 Aeneas Grullon,foul,,,,,,,shooting,,1,1,,1,
2025-11-19,Palomar,Home,def,54,dreb,2,12:33,53,56,3,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #20 Jake Field / #24 Aeneas Grullon,shot,3pa,missed,,,,,,,,,,0,
2025-11-19,Palomar,Home,def,54,dreb,2,12:33,53,56,3,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #20 Jake Field / #24 Aeneas Grullon,dreb,,,,,,,,,,,,0,
2025-11-19,Palomar,Home,def,55,made_fg,2,12:33,53,56,3,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #20 Jake Field / #24 Aeneas Grullon,shot,3pa,made,1,,,,,,,,,3,
2025-11-19,Palomar,Home,def,56,turnover,2,12:33,53,56,3,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #20 Jake Field / #24 Aeneas Grullon,deflection,,,,,,,,,,,,0,
2025-11-19,Palomar,Home,def,56,turnover,2,12:33,53,56,3,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #20 Jake Field / #24 Aeneas Grullon,deflection,,,,,,,,,,,,0,
2025-11-19,Palomar,Home,def,56,turnover,2,12:33,53,56,3,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #20 Jake Field / #24 Aeneas Grullon,turnover,,,,,,,,,,,deadball,0,
2025-11-19,Palomar,Home,def,57,dreb,2,11:22,53,59,6,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #20 Jake Field / #24 Aeneas Grullon,foul,,,,,,,nonshoot,,,,,0,
2025-11-19,Palomar,Home,def,57,dreb,2,11:22,53,59,6,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #20 Jake Field / #31 Noah Cotton,shot,2pa,missed,,,,,,,,,,0,
2025-11-19,Palomar,Home,def,57,dreb,2,11:22,53,59,6,,#1 Josh Castaniero / #2 Aiden Bitran / #3 Eric Kubel / #20 Jake Field / #31 Noah Cotton,dreb,,,,,,,,,,,,0,
